,Unnamed: 0,created_at,favorite_count,full_text,id,retweet_count,user.id,user.name
0,0,2020-11-11,4,International friendly roundup: Finland stun France and Belgium edge Swiss https://t.co/FMSd35RJBQ,1326667371730378753,1,16042794,Guardian US
1,1,2020-11-11,11,"When Joe Biden formally takes over the presidency in January, he will face some of the greatest crises to hit the US in recent history.

The Guardian's @laurenegambino looks at how @JoeBiden and @KamalaHarris plan to 'heal' the country after four years of Trump. https://t.co/zhiXIwW2Sx",1326666012142526466,5,16042794,Guardian US
2,2,2020-11-11,4,New Yorker fires Jeffrey Toobin after he reportedly exposed himself on Zoom https://t.co/2LrVf2tAR9,1326663505454510081,1,16042794,Guardian US
3,3,2020-11-11,8,"One week on: how has Donald Trump handled losing the US election?

From making baseless claims of voter fraud to false declarations of victory, Trump has been criticised for undermining democracy through his refusal to concede https://t.co/LpwzpN8jnO https://t.co/Wb1VQkCRN7",1326661105498796032,1,16042794,Guardian US
4,4,2020-11-11,13,France pays tribute to six-year-old resistance hero Marcel Pinte https://t.co/g3uwnkUbRk,1326659924278046728,6,16042794,Guardian US
